1/h,1/H,Contrast,Seed,Topology,m,Pilot residual,Tail rho,Forecast,Selected
32,8,1e+02,1,cross-channel,0,1.637e-04,0.687295,38,yes
32,8,1e+02,17,meandering-channel,0,9.189e-02,0.918413,159,no
32,8,1e+02,17,meandering-channel,12,2.803e-04,0.760713,45,yes
32,8,1e+04,1,diagonal-channels,0,3.220e-02,0.836377,83,yes
32,8,1e+04,1,diagonal-channels,12,3.572e-02,0.911929,138,no
32,8,1e+04,1,diagonal-channels,34,5.180e-02,0.930837,176,no
32,8,1e+04,1,diagonal-channels,24,2.850e-02,0.917554,144,no
32,8,1e+04,17,parallel-channels,0,8.357e-03,0.859758,84,no
32,8,1e+04,17,parallel-channels,12,1.989e-03,0.771468,54,yes
32,8,1e+04,17,parallel-channels,34,8.442e-04,0.781109,52,no
32,8,1e+06,1,cross-channel,0,2.559e-04,0.698005,40,yes
32,8,1e+06,17,meandering-channel,0,2.141e-01,0.947355,251,no
32,8,1e+06,17,meandering-channel,12,1.709e-02,0.714712,54,yes
32,8,1e+06,17,meandering-channel,34,3.572e-01,0.874441,120,no
32,8,1e+06,17,meandering-channel,24,1.632e-02,0.746376,58,no
64,8,1e+02,1,diagonal-channels,0,6.188e-01,0.941102,244,no
64,8,1e+02,1,diagonal-channels,12,1.264e-01,0.907547,146,yes
64,8,1e+02,1,diagonal-channels,34,1.772e-01,0.954113,282,no
64,8,1e+02,1,diagonal-channels,46,1.836e-01,0.954607,285,no
64,8,1e+02,17,parallel-channels,0,1.374e-01,0.928012,183,no
64,8,1e+02,17,parallel-channels,12,4.856e-02,0.879859,109,yes
64,8,1e+02,17,parallel-channels,34,4.441e-02,0.911253,140,no
64,8,1e+04,1,cross-channel,0,2.594e-01,0.926074,187,no
64,8,1e+04,1,cross-channel,12,2.166e-01,0.913885,161,no
64,8,1e+04,1,cross-channel,34,6.243e-01,0.896534,147,yes
64,8,1e+04,17,meandering-channel,0,1.083e+00,0.962780,391,no
64,8,1e+04,17,meandering-channel,12,1.051e+00,0.904408,162,no
64,8,1e+04,17,meandering-channel,34,3.636e-01,0.885208,130,yes
64,8,1e+06,1,diagonal-channels,0,9.331e-01,0.950375,295,no
64,8,1e+06,1,diagonal-channels,12,1.924e-01,0.915766,163,yes
64,8,1e+06,1,diagonal-channels,34,2.730e+00,0.926597,219,no
64,8,1e+06,1,diagonal-channels,46,5.622e+00,0.907220,184,no
64,8,1e+06,17,parallel-channels,0,1.914e-01,0.939368,219,no
64,8,1e+06,17,parallel-channels,12,2.342e-01,0.882398,123,yes
64,8,1e+06,17,parallel-channels,34,2.462e+00,0.886766,147,no
64,16,1e+02,1,cross-channel,0,7.699e-01,0.940245,244,no
64,16,1e+02,1,cross-channel,12,1.021e-03,0.770014,51,yes
64,16,1e+02,1,cross-channel,34,1.043e-02,0.893307,107,no
64,16,1e+02,1,cross-channel,24,3.481e-03,0.859622,78,no
64,16,1e+02,17,meandering-channel,0,7.347e-01,0.929964,211,no
64,16,1e+02,17,meandering-channel,12,8.692e-04,0.732833,46,yes
64,16,1e+04,1,diagonal-channels,0,1.340e+00,0.972749,535,no
64,16,1e+04,1,diagonal-channels,12,2.724e-01,0.893006,135,no
64,16,1e+04,1,diagonal-channels,34,5.072e-04,0.782110,50,yes
64,16,1e+04,17,parallel-channels,0,1.749e+00,0.988988,1323,no
64,16,1e+04,17,parallel-channels,12,6.909e-01,0.892812,143,no
64,16,1e+04,17,parallel-channels,34,5.906e-04,0.781348,50,yes
64,16,1e+06,1,cross-channel,0,4.442e+00,0.999755,12000,no
64,16,1e+06,1,cross-channel,12,9.712e+01,0.994219,3197,no
64,16,1e+06,1,cross-channel,34,1.213e-01,0.828010,87,yes
64,16,1e+06,17,meandering-channel,0,3.813e+00,0.988415,1325,no
64,16,1e+06,17,meandering-channel,12,6.475e+01,0.994367,3208,no
64,16,1e+06,17,meandering-channel,34,8.543e-03,0.733113,54,yes
