Support expansion strategies: fixed and adaptive budgets
========================================================

Version                : 3.4.0
Fine grid              : h=1/128
Coarse grid            : H=1/16
Contrast               : 1e+04
Smoother               : one forward + one backward Gauss-Seidel
Solve tolerance        : 1e-6
Timing                 : one end-to-end run per candidate
Energy solve tolerance : 1e-6

Note: The base, geometric-layer and indicator-strong rows use one construction pass. Adaptive-budget is the retained error-driven variant: it marks 70% of the current indicator energy, adds at most 16 strong-graph nodes per round and 128 per column, and re-solves only marked columns. The reported build time includes all support selection and refinement rounds.

Fixed support strategy study
----------------------------
Field                    Method             Parameter  P density %    Setup ms    Total ms        Cycles
-----------  ------------------  --------------------  -----------  ----------  ----------  ------------
continuous           base-local              layers=2       6.0922      42.161      81.021           104
continuous      geometric-layer                2 -> 3      12.5471     108.513     163.677            91
continuous     indicator-strong         K=64 one-shot       6.1082      53.094     100.935           104
continuous      adaptive-budget      R=8, B=128, q=16       6.2364     164.594     210.641           101

channel              base-local              layers=2       6.0922      55.464    2896.970          6840
channel         geometric-layer                2 -> 3      12.5471     134.302    3477.686          6050
channel        indicator-strong         K=64 one-shot       6.4855      98.283    2522.382          5592
channel         adaptive-budget      R=8, B=128, q=16       6.2390     192.336    1714.884          3553

checker              base-local              layers=2       6.0922      52.747    1774.676          4144
checker         geometric-layer                2 -> 3      12.5471     111.154     234.503           243
checker        indicator-strong         K=64 one-shot       6.4838      92.129     504.859           946
checker         adaptive-budget      R=8, B=128, q=16       6.2368     186.557     536.126           807

