Field,Method,Parameter,P density %,Setup ms,Total ms,Cycles
continuous,local-energy-4,tol=1e-02,11.1357,70.822,120.720,111
continuous,local-energy-4,tol=3e-03,15.7941,87.831,144.199,95
continuous,local-energy-4,tol=1e-03,18.4505,101.767,157.693,91
continuous,local-energy-4,tol=3e-04,20.0343,110.779,166.142,90
continuous,local-energy-4,tol=1e-04,20.4964,119.975,183.676,90
continuous,local-energy-4,tol=1e-10,20.5466,261.624,319.823,90
channel,local-energy-4,tol=1e-02,14.8391,78.524,3110.257,5449
channel,local-energy-4,tol=3e-03,18.2800,96.350,3365.280,5296
channel,local-energy-4,tol=1e-03,19.6917,127.064,3704.301,5283
channel,local-energy-4,tol=3e-04,20.1398,140.723,3763.547,5278
channel,local-energy-4,tol=1e-04,20.2876,185.425,3754.927,5277
channel,local-energy-4,tol=1e-10,20.5466,334.919,3829.875,5275
checker,local-energy-4,tol=1e-02,14.2278,81.434,753.439,1186
checker,local-energy-4,tol=3e-03,17.8336,97.054,279.777,265
checker,local-energy-4,tol=1e-03,19.4081,124.487,278.313,231
checker,local-energy-4,tol=3e-04,19.9827,138.004,311.910,229
checker,local-energy-4,tol=1e-04,20.1788,154.475,317.261,229
checker,local-energy-4,tol=1e-10,20.5466,343.713,491.659,229
